date,account_value
2021-10-18 08:00:00,10000.0
2021-10-19 08:00:00,10188.012551308773
2021-10-20 08:00:00,10312.956639202346
2021-10-21 08:00:00,10855.095445254212
2021-10-22 08:00:00,10901.476728085783
2021-10-23 08:00:00,10705.97889477875
2021-10-24 08:00:00,10470.244001169107
2021-10-25 08:00:00,10886.354855100226
2021-10-26 08:00:00,10921.096280500482
2021-10-27 08:00:00,10261.525475459628
2021-10-28 08:00:00,10647.351268368117
2021-10-29 08:00:00,10842.39822291036
2021-10-30 08:00:00,11037.780150744498
2021-10-31 08:00:00,10782.232638139829
2021-11-01 08:00:00,11164.550203834722
2021-11-02 08:00:00,11314.62136459448
2021-11-03 08:00:00,11754.184754358921
2021-11-04 08:00:00,11713.013280960811
2021-11-05 08:00:00,11917.906229807202
2021-11-06 08:00:00,11835.729038023646
2021-11-07 08:00:00,12431.691553904368
2021-11-08 08:00:00,12561.328187162713
2021-11-09 08:00:00,12680.96230365427
2021-11-10 08:00:00,12608.256311543752
2021-11-11 08:00:00,12413.436627718427
2021-11-12 08:00:00,12078.087288889246
2021-11-13 08:00:00,12189.837447123984
2021-11-14 08:00:00,12397.178747434984
2021-11-15 08:00:00,12582.420725212396
2021-11-16 08:00:00,11656.48679587555
2021-11-17 08:00:00,11598.44487302758
2021-11-18 08:00:00,11277.05645294991
2021-11-19 08:00:00,11057.080074279735
2021-11-20 08:00:00,11471.66633263627
2021-11-21 08:00:00,11390.6933114281
2021-11-22 08:00:00,11389.553558245048
2021-11-23 08:00:00,11396.392077343366
2021-11-24 08:00:00,11394.11257097726
2021-11-25 08:00:00,11390.693311428102
2021-11-26 08:00:00,11389.55355824505
2021-11-27 08:00:00,11390.693311428104
2021-11-28 08:00:00,11389.553558245052
2021-11-29 08:00:00,11387.274051878947
2021-11-30 08:00:00,11388.413805062
2021-12-01 08:00:00,11386.134298695895
2021-12-02 08:00:00,11388.413805062
2021-12-03 08:00:00,11387.274051878947
2021-12-04 08:00:00,11379.295779597578
2021-12-05 08:00:00,11380.435532780632
2021-12-06 08:00:00,11386.134298695893
2021-12-07 08:00:00,11384.994545512842
2021-12-08 08:00:00,11387.274051878947
2021-12-09 08:00:00,11387.274051878947
2021-12-10 08:00:00,11392.97281779421
2021-12-11 08:00:00,11391.833064611159
2021-12-12 08:00:00,11391.833064611159
2021-12-13 08:00:00,11391.833064611159
2021-12-14 08:00:00,11394.112570977262
2021-12-15 08:00:00,11394.112570977262
2021-12-16 08:00:00,11392.972817794209
2021-12-17 08:00:00,11394.112570977262
2021-12-18 08:00:00,11394.112570977262
2021-12-19 08:00:00,11391.833064611157
2021-12-20 08:00:00,11395.252324160314
2021-12-21 08:00:00,11395.252324160314
2021-12-22 08:00:00,11392.972817794209
2021-12-23 08:00:00,11392.972817794209
2021-12-24 08:00:00,11392.972817794209
2021-12-25 08:00:00,11391.833064611157
2021-12-26 08:00:00,11392.97281779421
2021-12-27 08:00:00,11391.833064611159
2021-12-28 08:00:00,11394.112570977262
2021-12-29 08:00:00,11395.252324160314
2021-12-30 08:00:00,11396.392077343367
2021-12-31 08:00:00,11395.252324160314
2022-01-01 08:00:00,11396.392077343367
2022-01-02 08:00:00,11396.392077343367
2022-01-03 08:00:00,11397.531830526419
2022-01-04 08:00:00,11396.392077343367
2022-01-05 08:00:00,11398.671583709473
2022-01-06 08:00:00,11399.811336892526
2022-01-07 08:00:00,11402.09084325863
2022-01-08 08:00:00,11397.531830526419
2022-01-09 08:00:00,11397.531830526419
2022-01-10 08:00:00,11396.392077343367
2022-01-11 08:00:00,11397.531830526419
2022-01-12 08:00:00,11395.252324160314
2022-01-13 08:00:00,11392.972817794209
2022-01-14 08:00:00,11394.112570977262
2022-01-15 08:00:00,11394.112570977262
2022-01-16 08:00:00,11394.112570977262
2022-01-17 08:00:00,11394.112570977262
2022-01-18 08:00:00,11395.252324160314
2022-01-19 08:00:00,11394.112570977262
2022-01-20 08:00:00,11395.252324160314
2022-01-21 08:00:00,11396.392077343367
2022-01-22 08:00:00,11395.252324160314
2022-01-23 08:00:00,11396.392077343367
2022-01-24 08:00:00,11395.252324160314
2022-01-25 08:00:00,11392.972817794209
2022-01-26 08:00:00,11394.112570977262
2022-01-27 08:00:00,11392.972817794209
2022-01-28 08:00:00,11396.392077343367
2022-01-29 08:00:00,11395.252324160314
2022-01-30 08:00:00,11394.112570977262
2022-01-31 08:00:00,11392.972817794209
2022-02-01 08:00:00,11392.972817794209
2022-02-02 08:00:00,11391.833064611157
2022-02-03 08:00:00,11395.252324160314
2022-02-04 08:00:00,11391.833064611157
2022-02-05 08:00:00,11390.693311428104
2022-02-06 08:00:00,11390.693311428104
2022-02-07 08:00:00,11390.693311428104
2022-02-08 08:00:00,11388.413805061999
2022-02-09 08:00:00,11388.413805061999
2022-02-10 08:00:00,11388.413805061999
2022-02-11 08:00:00,11389.55355824505
2022-02-12 08:00:00,11390.693311428104
2022-02-13 08:00:00,11390.693311428104
2022-02-14 08:00:00,11212.077224185357
2022-02-15 08:00:00,11936.01637953448
2022-02-16 08:00:00,11978.09883860789
2022-02-17 08:00:00,11738.21844238542
2022-02-18 08:00:00,11149.558784036999
2022-02-19 08:00:00,10885.415319506705
2022-02-20 08:00:00,10614.859708107442
2022-02-21 08:00:00,10613.79769112814
2022-02-22 08:00:00,10614.859708107442
2022-02-23 08:00:00,10615.921725086744
2022-02-24 08:00:00,10616.983742066046
2022-02-25 08:00:00,10615.921725086746
2022-02-26 08:00:00,10615.921725086746
2022-02-27 08:00:00,10614.859708107446
2022-02-28 08:00:00,10614.859708107446
2022-03-01 08:00:00,10616.983742066046
2022-03-02 08:00:00,10614.859708107444
2022-03-03 08:00:00,10615.921725086746
2022-03-04 08:00:00,10618.045759045346
2022-03-05 08:00:00,10618.045759045346
2022-03-06 08:00:00,10618.045759045346
2022-03-07 08:00:00,10478.512455782364
2022-03-08 08:00:00,10649.518654874308
2022-03-09 08:00:00,11163.884701483521
2022-03-10 08:00:00,10593.40869174839
2022-03-11 08:00:00,10734.24947338591
2022-03-12 08:00:00,10552.92702103357
2022-03-13 08:00:00,10487.995374639188
2022-03-14 08:00:00,10483.924536713286
2022-03-15 08:00:00,10401.798336107347
2022-03-16 08:00:00,10822.100528114137
2022-03-17 08:00:00,11029.732696723106
2022-03-18 08:00:00,10955.077777931789
2022-03-19 08:00:00,11395.249855730412
2022-03-20 08:00:00,11276.043209264046
2022-03-21 08:00:00,11267.375354545497
2022-03-22 08:00:00,11613.797226017265
2022-03-23 08:00:00,11439.579963044895
2022-03-24 08:00:00,11839.49745563669
2022-03-25 08:00:00,12199.10135286368
2022-03-26 08:00:00,12032.276369510562
2022-03-27 08:00:00,12074.840515040189
2022-03-28 08:00:00,12763.989951044707
2022-03-29 08:00:00,12991.525135717779
2022-03-30 08:00:00,12871.470363513305
2022-03-31 08:00:00,13169.823376071983
2022-04-01 08:00:00,12771.643336491305
2022-04-02 08:00:00,13400.362614401614
2022-04-03 08:00:00,13373.433493809565
2022-04-04 08:00:00,13312.35000240638
2022-04-05 08:00:00,13455.875239244815
2022-04-06 08:00:00,12768.666272080542
2022-04-07 08:00:00,12564.55318814696
2022-04-08 08:00:00,12435.174045415262
2022-04-09 08:00:00,12228.734639021139
2022-04-10 08:00:00,12268.863516842994
2022-04-11 08:00:00,11729.376321432084
2022-04-12 08:00:00,11772.913830101774
2022-04-13 08:00:00,11619.21347750861
2022-04-14 08:00:00,11838.227923477618
2022-04-15 08:00:00,11709.765207402686
2022-04-16 08:00:00,11727.668057605491
2022-04-17 08:00:00,11745.558655991039
2022-04-18 08:00:00,11744.383865167276
2022-04-19 08:00:00,11745.558655991039
2022-04-20 08:00:00,11745.558655991039
2022-04-21 08:00:00,11744.383865167276
2022-04-22 08:00:00,11746.733446814804
2022-04-23 08:00:00,11745.558655991039
2022-04-24 08:00:00,11746.733446814804
2022-04-25 08:00:00,11745.558655991039
2022-04-26 08:00:00,11747.908237638567
2022-04-27 08:00:00,11746.733446814804
2022-04-28 08:00:00,11747.908237638567
2022-04-29 08:00:00,11747.908237638567
2022-04-30 08:00:00,11747.908237638567
2022-05-01 08:00:00,11747.908237638567
2022-05-02 08:00:00,11747.908237638567
2022-05-03 08:00:00,11747.908237638567
2022-05-04 08:00:00,11749.08302846233
2022-05-05 08:00:00,11749.08302846233
2022-05-06 08:00:00,11750.257819286095
2022-05-07 08:00:00,11751.432610109858
2022-05-08 08:00:00,11751.432610109858
2022-05-09 08:00:00,11752.60740093362
2022-05-10 08:00:00,11751.432610109858
2022-05-11 08:00:00,11754.956982581149
2022-05-12 08:00:00,11854.81420260108
2022-05-13 08:00:00,11762.005727523734
2022-05-14 08:00:00,11776.103217408898
2022-05-15 08:00:00,11762.005727523732
2022-05-16 08:00:00,11759.656145876203
2022-05-17 08:00:00,11760.830936699967
2022-05-18 08:00:00,11762.005727523732
2022-05-19 08:00:00,11763.180518347497
2022-05-20 08:00:00,11756.131773404913
2022-05-21 08:00:00,11764.355309171264
2022-05-22 08:00:00,11762.005727523736
2022-05-23 08:00:00,11758.481355052441
2022-05-24 08:00:00,11760.830936699971
2022-05-25 08:00:00,11760.830936699971
2022-05-26 08:00:00,11762.005727523736
2022-05-27 08:00:00,11762.005727523736
2022-05-28 08:00:00,11760.830936699971
2022-05-29 08:00:00,11760.830936699971
2022-05-30 08:00:00,11754.956982581149
2022-05-31 08:00:00,11756.131773404913
2022-06-01 08:00:00,11757.306564228677
2022-06-02 08:00:00,11758.481355052441
2022-06-03 08:00:00,11756.131773404913
2022-06-04 08:00:00,11757.306564228677
2022-06-05 08:00:00,11758.481355052441
2022-06-06 08:00:00,11757.306564228678
2022-06-07 08:00:00,11756.131773404913
2022-06-08 08:00:00,11753.782191757387
2022-06-09 08:00:00,11756.131773404915
2022-06-10 08:00:00,11757.306564228678
2022-06-11 08:00:00,11760.830936699971
2022-06-12 08:00:00,11762.005727523736
2022-06-13 08:00:00,11774.928426585135
2022-06-14 08:00:00,11765.530099995025
2022-06-15 08:00:00,11766.704890818788
2022-06-16 08:00:00,11762.005727523734
2022-06-17 08:00:00,11763.180518347499
