date,account_value
2021-10-18 08:00:00,10000.0
2021-10-19 08:00:00,10172.183872117177
2021-10-20 08:00:00,10264.280711486652
2021-10-21 08:00:00,10886.389472277846
2021-10-22 08:00:00,11073.408966978099
2021-10-23 08:00:00,10889.736529117788
2021-10-24 08:00:00,10641.721740095045
2021-10-25 08:00:00,11061.423403250552
2021-10-26 08:00:00,11113.413503798058
2021-10-27 08:00:00,10457.39934225486
2021-10-28 08:00:00,10842.894589906859
2021-10-29 08:00:00,11077.336529843054
2021-10-30 08:00:00,11267.023978482177
2021-10-31 08:00:00,10994.065709640425
2021-11-01 08:00:00,11416.255030523234
2021-11-02 08:00:00,11564.163289794005
2021-11-03 08:00:00,12065.451269858168
2021-11-04 08:00:00,12107.954584676172
2021-11-05 08:00:00,12374.833515521514
2021-11-06 08:00:00,12341.17963215814
2021-11-07 08:00:00,12972.586922524053
2021-11-08 08:00:00,12946.411909312927
2021-11-09 08:00:00,13033.396778803291
2021-11-10 08:00:00,12986.872230833855
2021-11-11 08:00:00,12797.550973376705
2021-11-12 08:00:00,12427.318823342026
2021-11-13 08:00:00,12549.052125690216
2021-11-14 08:00:00,12770.81737091705
2021-11-15 08:00:00,12947.381639210886
2021-11-16 08:00:00,12017.861017340108
2021-11-17 08:00:00,11939.651285533118
2021-11-18 08:00:00,11602.96223829024
2021-11-19 08:00:00,11422.999710391643
2021-11-20 08:00:00,11890.544800627045
2021-11-21 08:00:00,11795.859770564532
2021-11-22 08:00:00,11794.679476410984
2021-11-23 08:00:00,11801.761241332277
2021-11-24 08:00:00,11799.40065302518
2021-11-25 08:00:00,11795.859770564535
2021-11-26 08:00:00,11794.679476410987
2021-11-27 08:00:00,11795.859770564535
2021-11-28 08:00:00,11794.679476410987
2021-11-29 08:00:00,11792.31888810389
2021-11-30 08:00:00,11793.49918225744
2021-12-01 08:00:00,11791.138593950343
2021-12-02 08:00:00,11793.499182257441
2021-12-03 08:00:00,11792.318888103891
2021-12-04 08:00:00,11784.05682902905
2021-12-05 08:00:00,11785.2371231826
2021-12-06 08:00:00,11791.138593950342
2021-12-07 08:00:00,11789.958299796794
2021-12-08 08:00:00,11792.31888810389
2021-12-09 08:00:00,11792.31888810389
2021-12-10 08:00:00,11798.220358871635
2021-12-11 08:00:00,11797.040064718087
2021-12-12 08:00:00,11797.040064718087
2021-12-13 08:00:00,11797.040064718087
2021-12-14 08:00:00,11799.400653025183
2021-12-15 08:00:00,11799.400653025183
2021-12-16 08:00:00,11798.220358871635
